symbol,name,yahoo_ticker
RELIANCE,Reliance Industries Ltd,RELIANCE.NS
TCS,Tata Consultancy Services Ltd,TCS.NS
HDFCBANK,HDFC Bank Ltd,HDFCBANK.NS
INFY,Infosys Ltd,INFY.NS
HINDUNILVR,Hindustan Unilever Ltd,HINDUNILVR.NS
ICICIBANK,ICICI Bank Ltd,ICICIBANK.NS
BHARTIARTL,Bharti Airtel Ltd,BHARTIARTL.NS
ITC,ITC Ltd,ITC.NS
SBIN,State Bank of India,SBIN.NS
LT,Larsen & Toubro Ltd,LT.NS
AXISBANK,Axis Bank Ltd,AXISBANK.NS
BAJFINANCE,Bajaj Finance Ltd,BAJFINANCE.NS
ASIANPAINT,Asian Paints Ltd,ASIANPAINT.NS
MARUTI,Maruti Suzuki India Ltd,MARUTI.NS
HCLTECH,HCL Technologies Ltd,HCLTECH.NS
TITAN,Titan Company Ltd,TITAN.NS
SUNPHARMA,Sun Pharmaceutical Industries Ltd,SUNPHARMA.NS
ULTRACEMCO,UltraTech Cement Ltd,ULTRACEMCO.NS
NESTLEIND,Nestle India Ltd,NESTLEIND.NS
KOTAKBANK,Kotak Mahindra Bank Ltd,KOTAKBANK.NS
WIPRO,Wipro Ltd,WIPRO.NS
M&M,Mahindra & Mahindra Ltd,M&M.NS
ONGC,Oil & Natural Gas Corporation Ltd,ONGC.NS
NTPC,NTPC Ltd,NTPC.NS
POWERGRID,Power Grid Corporation of India Ltd,POWERGRID.NS
TATAMOTORS,Tata Motors Ltd,TATAMOTORS.NS
TATASTEEL,Tata Steel Ltd,TATASTEEL.NS
BAJAJFINSV,Bajaj Finserv Ltd,BAJAJFINSV.NS
TECHM,Tech Mahindra Ltd,TECHM.NS
ADANIPORTS,Adani Ports and Special Economic Zone Ltd,ADANIPORTS.NS
COALINDIA,Coal India Ltd,COALINDIA.NS
EICHERMOT,Eicher Motors Ltd,EICHERMOT.NS
GRASIM,Grasim Industries Ltd,GRASIM.NS
HINDALCO,Hindalco Industries Ltd,HINDALCO.NS
HEROMOTOCO,Hero MotoCorp Ltd,HEROMOTOCO.NS
JSWSTEEL,JSW Steel Ltd,JSWSTEEL.NS
INDUSINDBK,IndusInd Bank Ltd,INDUSINDBK.NS
CIPLA,Cipla Ltd,CIPLA.NS
DIVISLAB,Divi's Laboratories Ltd,DIVISLAB.NS
DRREDDY,Dr. Reddy's Laboratories Ltd,DRREDDY.NS
BRITANNIA,Britannia Industries Ltd,BRITANNIA.NS
UPL,UPL Ltd,UPL.NS
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,APOLLOHOSP.NS
BAJAJ-AUTO,Bajaj Auto Ltd,BAJAJ-AUTO.NS
BPCL,Bharat Petroleum Corporation Ltd,BPCL.NS
TATACONSUM,Tata Consumer Products Ltd,TATACONSUM.NS
SBILIFE,SBI Life Insurance Company Ltd,SBILIFE.NS
SHREECEM,Shree Cement Ltd,SHREECEM.NS
ADANIENT,Adani Enterprises Ltd,ADANIENT.NS
LTIM,LTIMindtree Ltd,LTIM.NS
